A    aa
DUGAL    d uw g aa l
DUGANG    d uw g aa ng
DUGAS    d uw g aa s
DUGDENG    d uw g d ## ng
DUGDER    d uw g d ## r
DUH    d uw hh
DUHA    d uw hh aa
DUHAI    d uw hh ##
DUHE    d uw hh ##
DUHU    d uw hh uw
DUILAH    d uw ih l aa hh
DUIT    d uw ih t
DUK    d uw k
DUKA    d uw k aa
DUKACARITA    d uw k aa ch aa r ih t aa
DUKACITA    d uw k aa ch ih t aa
DUKAN    d uw k aa n
DUKANA    d uw k aa n aa
DUKAT    d uw k aa t
DUKATEN    d uw k aa t ## n
DUKTULUS    d uw k t uw l uw s
DUKTUS    d uw k t uw s
DUKU    d uw k uw
DUKUH    d uw k uw hh
DUKUN    d uw k uw n
DUKUNG    d uw k uw ng
DULA    d uw l aa
DULAG    d uw l aa g
DULANG    d uw l aa ng
DULANG-DULANG    d uw l aa ng d uw l aa ng
DULI    d uw l ih
DULUR    d uw l uw r
DUM    d uw m
DUMDUM    d uw m d uw m
DUMI    d uw m ih
DUMPING    d uw m p ih ng
DUMUNG    d uw m uw ng
DUNAH    d uw n aa hh
DUNAK    d uw n aa k
DUNG    d uw ng
DUNGAS    d uw ng aa s
DUNGKELAN    d uw ng k ## l aa n
DUNGKUL    d uw ng k uw l
DUNGU    d uw ng uw
DUNGUN    d uw ng uw n
DUNIA    d uw n ih aa
DUNIAWI    d uw n ih aa w ih
DUODENUM    d uw ao d ## n uw m
DUODESIMAL    d uw ao d ## s ih m aa l
DUODRAMA    d uw ao d r aa m aa
DUOPOLI    d uw ao p ao l ih
DUP    d uw p
DUPA    d uw p aa
DUPAK    d uw p aa k
DUPLEKS    d uw p l ## k s
DUPLIK    d uw p l ih k
DUPLIKASI    d uw p l ih k aa s ih
DUPLIKAT    d uw p l ih k aa t
DUPLIKATOR    d uw p l ih k aa t ao r
DUPLISITAS    d uw p l ih s ih t aa s
DUPLO    d uw p l ao
DUR    d uw r
DURA    d uw r aa
DURALUMIN    d uw r aa l uw m ih n
DURAMATER    d uw r aa m aa t ## r
DURASI    d uw r aa s ih
DURAT    d uw r aa t
DURATIF    d uw r aa t ih f
DUREN    d uw r ## n
DURENG    d uw r ## ng
DURHAKA    d uw r hh aa k aa
DURI    d uw r ih
DURIAN    d uw r ih aa n
DURIAS    d uw r ih aa s
DURIAT    d uw r ih aa t
DURJA    d uw r jh aa
DURJANA    d uw r jh aa n aa
DURJASA    d uw r jh aa s aa
DURKARSA    d uw r k aa r s aa
DURMA    d uw r m aa
DURNA    d uw r n aa
DURNO    d uw r n ao
DURNOIS    d uw r n ## s
DURNOISME    d uw r n ## s m ##
DUROMETER    d uw r ao m ## t ## r
DURSILA    d uw r s ih l aa
DURU    d uw r uw
DURUWIKSA    d uw r uw w ih k s aa
DUS    d uw s
DUSIN    d uw s ih n
DUSTA    d uw s t aa
DUSTUR    d uw s t uw r
DUSUN    d uw s uw n
DUTA    d uw t aa
DUWEGAN    d uw w ## g aa n
DUWET    d uw w ## t
DUYUN    d uw y uw n
DUYUNG    d uw y uw ng
DWI-    d w ih
DWIARTI    d w ih aa r t ih
DWIBAHASA    d w ih b aa hh aa s aa
DWIBAHASAWAN    d w ih b aa hh aa s aa w aa n
DWIDARMA    d w ih d aa r m aa
DWIDASAWARSA    d w ih d aa s aa w aa r s aa
DWIFUNGSI    d w ih f uw ng s ih
DWIGANDA    d w ih g aa n d aa
DWIGUNA    d w ih g uw n aa
DWILINGGA    d w ih l ih ng g aa
DWIMATRA    d w ih m aa t r aa
DWIMINGGU    d w ih m ih ng g uw
DWIMUKA    d w ih m uw k aa
DWIPERAN    d w ih p ## r aa n
DWIPURWA    d w ih p uw r w aa
DWISEGI    d w ih s ## g ih
DWITARUNG    d w ih t aa r uw ng
DWITUNGGAL    d w ih t uw ng g aa l
DWIWARNA    d w ih w aa r n aa
DZAL    d z aa l
E    ##
EBAM    ## b aa m
EBAN    ## b aa n
EBEK    ## b ## k
EBI    ## b ih
EBONI    ## b ao n ih
EBONIT    ## b ao n ih t
EBRO    ## b r ao
EBURINA    ## b uw r ih n aa
ECEK    ## ch ## k
ECENG    ## ch ## ng
ECER    ## ch ## r
ECO    ## ch ao
EDAFIK    ## d aa f ih k
EDAFIT    ## d aa f ih t
EDAFOLOGI    ## d aa f ao l ao g ih
EDAFON    ## d aa f ao n
EDAN    ## d aa n
EDAR    ## d aa r
EDEMA    ## d ## m aa
EDENTAT    ## d ## n t aa t
EDISI    ## d ih s ih
EDIT    ## d ih t
EDITOR    ## d ih t ao r
EDITORIAL    ## d ih t ao r ih aa l
EDUKASI    ## d uw k aa s ih
EDUKATIF    ## d uw k aa t ih f
EF    ## f
EFEDRINA    ## f ## d r ih n aa
EFEK    ## f ## k
EFEKTIF    ## f ## k t ih f
EFEKTIVITAS    ## f ## k t ih f ih t aa s
EFEKTOR    ## f ## k t ao r
EFELIS    ## f ## l ih s
EFENDI    ## f ## n d ih
EFISIEN    ## f ih s ih ## n
EFISIENSI    ## f ih s ih ## n s ih
EFLORESENSI    ## f l ao r ## s ## n s ih
EFORUS    ## f ao r uw s
EFUSI    ## f uw s ih
EGAH    ## g aa hh
EGALISASI    ## g aa l ih s aa s ih
EGALITARIAN    ## g aa l ih t aa r ih aa n
EGALITARIANISME    ## g aa l ih t aa r ih aa n ih s m ##
EGALITARISME    ## g aa l ih t aa r ih s m ##
EGALITER    ## g aa l ih t ## r
EGAT    ## g aa t
EGO    ## g ao
EGOIS    ## g ## s
EGOISME    ## g ## s m ##
EGOISTIS    ## g ## s t ih s
EGOL    ## g ao l
EGOMANIA    ## g ao m aa n ih aa
EGOS    ## g ao s
EGOSENTRIS    ## g ao s ## n t r ih s
EGOSENTRISITAS    ## g ao s ## n t r ih s ih t aa s
EGOSENTRISME    ## g ao s ## n t r ih s m ##
EGRANG    ## g r aa ng
EGRESIF    ## g r ## s ih f
EH    ## hh
EHE    ## hh ##
EIDETIK    ## d ## t ih k
EIGENDOM    ## g ## n d ao m
EIKOSAN    ## k ao s aa n
EINSTEINIUM    ## n s t ## n ih uw m
EJA    ## jh aa
EJAKULASI    ## jh aa k uw l aa s ih
EJAN    ## jh aa n
EJAWANTAH    ## jh aa w aa n t aa hh
EJEK    ## jh ## k
EJEKTIF    ## jh ## k t ih f
EJEKTOR    ## jh ## k t ao r
EKA-    ## k aa
EKABAHASA    ## k aa b aa hh aa s aa
EKABAHASAWAN    ## k aa b aa hh aa s aa w aa n
EKAD    ## k aa d
EKAJATI    ## k aa jh aa t ih
EKAKARSA    ## k aa k aa r s aa
EKAMATRA    ## k aa m aa t r aa
EKANG    ## k aa ng
EKARISTI    ## k aa r ih s t ih
EKATANTRI    ## k aa t aa n t r ih
EKBALIUM    ## k b aa l ih uw m
EKDEMIK    ## k d ## m ih k
EKDERON    ## k d ## r ao n
EKDISIS    ## k d ih s ih s
EKEH    ## k ## hh
EKIMOSIS    ## k ih m ao s ih s
EKIOFIT    ## k ih ao f ih t
EKLEKTIK    ## k l ## k t ih k
EKLEKTIKUS    ## k l ## k t ih k uw s
EKLEKTIS    ## k l ## k t ih s
EKLEKTISISME    ## k l ## k t ih s ih s m ##
EKLEKTISME    ## k l ## k t ih s m ##
EKLIPS    ## k l ih p s
EKLIPTIKA    ## k l ih p t ih k aa
EKLIPTIS    ## k l ih p t ih s
EKLOSI    ## k l ao s ih
EKOFISIOLOGI    ## k ao f ih s ih ao l ao g ih
EKOFRAKSIA    ## k ao f r aa k s ih aa
EKOFRASIA    ## k ao f r aa s ih aa
EKOGRAFI    ## k ao g r aa f ih
EKOGRUP    ## k ao g r uw p
EKOKLIMAT    ## k ao k l ih m aa t
EKOKLIMATOLOGI    ## k ao k l ih m aa t ao l ao g ih
EKOKRONOLOGI    ## k ao k r ao n ao l ao g ih
EKOLABEL    ## k ao l aa b ## l
EKOLALIA    ## k ao l aa l ih aa
EKOLOGI    ## k ao l ao g ih
EKOLOGIS    ## k ao l ao g ih s
EKON    ## k ao n
EKONOM    ## k ao n ao m
EKONOMETRI    ## k ao n ao m ## t r ih
EKONOMI    ## k ao n ao m ih
EKONOMIS    ## k ao n ao m ih s
EKOPOLITIK    ## k ao p ao l ih t ih k
EKOPRAKSIA    ## k ao p r aa k s ih aa
EKOR    ## k ao r
EKORNIA    ## k ao r n ih aa
EKOSFER    ## k ao s f ## r
EKOSISTEM    ## k ao s ih s t ## m
EKOSISTEMATIKA    ## k ao s ih s t ## m aa t ih k aa
EKOSPESIES    ## k ao s p ## s ih ## s
EKOSTRATIGRAFI    ## k ao s t r aa t ih g r aa f ih
EKOTIPE    ## k ao t ih p ##
EKOTIPIFIKASI    ## k ao t ih p ih f ih k aa s ih
EKOTURISME    ## k ao t uw r ih s m ##
EKOZONA    ## k ao z ao n aa
EKRIN    ## k r ih n
EKRINOLOGI    ## k r ih n ao l ao g ih
EKS    ## k s
EKS-    ## k s
EKSAK    ## k s aa k
EKSAKTA    ## k s aa k t aa
EKSALTASI    ## k s aa l t aa s ih
EKSAMEN    ## k s aa m ## n
EKSAMINASI    ## k s aa m ih n aa s ih
EKSAMINATOR    ## k s aa m ih n aa t ao r
EKSANTEM    ## k s aa n t ## m
EKSANTROPUS    ## k s aa n t r ao p uw s
EKSARASI    ## k s aa r aa s ih
EKSEGESIS    ## k s ## g ## s ih s
EKSEGET    ## k s ## g ## t
EKSEKUSI    ## k s ## k uw s ih
EKSEKUTIF    ## k s ## k uw t ih f
EKSEKUTOR    ## k s ## k uw t ao r
EKSEM    ## k s ## m
EKSEMPLAR    ## k s ## m p l aa r
EKSENTERASI    ## k s ## n t ## r aa s ih
EKSENTRIK    ## k s ## n t r ih k
EKSEPSI    ## k s ## p s ih
EKSEPTOR    ## k s ## p t ao r
EKSES    ## k s ## s
EKSESIF    ## k s ## s ih f
EKSFOLIASI    ## k s f ao l ih aa s ih
EKSHALASI    ## k s hh aa l aa s ih
EKSHIBISI    ## k s hh ih b ih s ih
EKSHIBISIONIS    ## k s hh ih b ih s ih ao n ih s
EKSHIBISIONISME    ## k s hh ih b ih s ih ao n ih s m ##
EKSHIBITUM    ## k s hh ih b ih t uw m
EKSIKATOR    ## k s ih k aa t ao r
EKSIN    ## k s ih n
EKSIPIEN    ## k s ih p ih ## n
EKSISI    ## k s ih s ih
EKSISTENSI    ## k s ih s t ## n s ih
EKSISTENSIALIS    ## k s ih s t ## n s ih aa l ih s
EKSISTENSIALISME    ## k s ih s t ## n s ih aa l ih s m ##
EKSIT    ## k s ih t
EKSITASI    ## k s ih t aa s ih
EKSITUS    ## k s ih t uw s
EKSKAVASI    ## k s k aa f aa s ih
EKSKAVATOR    ## k s k aa f aa t ao r
EKSKLAVE    ## k s k l aa f ##
EKSKLUSIF    ## k s k l uw s ih f
EKSKLUSIVISME    ## k s k l uw s ih f ih s m ##
EKSKOMUNIKASI    ## k s k ao m uw n ih k aa s ih
EKSKRESI    ## k s k r ## s ih
EKSKRETA    ## k s k r ## t aa
EKSKURSI    ## k s k uw r s ih
EKSKURSIF    ## k s k uw r s ih f
EKSO-    ## k s ao
EKSOBIOLOGI    ## k s ao b ih ao l ao g ih
EKSOBIOTIK    ## k s ao b ih ao t ih k
EKSODERMIS    ## k s ao d ## r m ih s
EKSODOS    ## k s ao d ao s
EKSODUS    ## k s ao d uw s
EKSOENZIM    ## k s ao ## n z ih m
EKSOERGIK    ## k s ao ## r g ih k
EKSOFASIA    ## k s ao f aa s ih aa
EKSOFORA    ## k s ao f ao r aa
EKSOFTALMIA    ## k s ao f t aa l m ih aa
EKSOFTALMOS    ## k s ao f t aa l m ao s
EKSOFTALMUS    ## k s ao f t aa l m uw s
EKSOGAM    ## k s ao g aa m
EKSOGAMI    ## k s ao g aa m ih
EKSOGEN    ## k s ao g ## n
EKSOGIN    ## k s ao g ih n
EKSOISOGAMI    ## k s ## s ao g aa m ih
EKSORDIUM    ## k s ao r d ih uw m
EKSORSIS    ## k s ao r s ih s
EKSOSFER    ## k s ao s f ## r
EKSOSPORA    ## k s ao s p ao r aa
EKSOSTOSIS    ## k s ao s t ao s ih s
EKSOTERIK    ## k s ao t ## r ih k
EKSOTERMIK    ## k s ao t ## r m ih k
EKSOTIK    ## k s ao t ih k
EKSOTIS    ## k s ao t ih s
EKSOTISME    ## k s ao t ih s m ##
EKSPANSI    ## k s p aa n s ih
EKSPANSIF    ## k s p aa n s ih f
EKSPANSIONIS    ## k s p aa n s ih ao n ih s
EKSPANSIONISME    ## k s p aa n s ih ao n ih s m ##
EKSPANSIONISTIS    ## k s p aa n s ih ao n ih s t ih s
EKSPATRIASI    ## k s p aa t r ih aa s ih
EKSPATRIAT    ## k s p aa t r ih aa t
EKSPEDISI    ## k s p ## d ih s ih
EKSPEDITOR    ## k s p ## d ih t ao r
EKSPEKTORAN    ## k s p ## k t ao r aa n
EKSPER    ## k s p ## r
EKSPERIMEN    ## k s p ## r ih m ## n
EKSPERIMENTAL    ## k s p ## r ih m ## n t aa l
EKSPIRASI    ## k s p ih r aa s ih
EKSPLAN    ## k s p l aa n
EKSPLIKASI    ## k s p l ih k aa s ih
EKSPLISIT    ## k s p l ih s ih t
EKSPLOIT    ## k s p l ## t
EKSPLOITASI    ## k s p l ## t aa s ih
EKSPLOITIR    ## k s p l ## t ih r
EKSPLORASI    ## k s p l ao r aa s ih
EKSPLORATIF    ## k s p l ao r aa t ih f
EKSPLORATOR    ## k s p l ao r aa t ao r
EKSPLOSI    ## k s p l ao s ih
EKSPLOSIF    ## k s p l ao s ih f
EKSPO    ## k s p ao
EKSPONEN    ## k s p ao n ## n
EKSPONENSIAL    ## k s p ao n ## n s ih aa l
EKSPOR    ## k s p ao r
EKSPORTIR    ## k s p ao r t ih r
EKSPOS    ## k s p ao s
EKSPOSE    ## k s p ao s ##
EKSPOSISI    ## k s p ao s ih s ih
EKSPRES    ## k s p r ## s
EKSPRESI    ## k s p r ## s ih
EKSPRESIF    ## k s p r ## s ih f
EKSPRESIONISME    ## k s p r ## s ih ao n ih s m ##
EKSPRESIONISTIK    ## k s p r ## s ih ao n ih s t ih k
EKSPRESIVITAS    ## k s p r ## s ih f ih t aa s
EKSTASE    ## k s t aa s ##
EKSTASI    ## k s t aa s ih
EKSTENSI    ## k s t ## n s ih
EKSTENSIF    ## k s t ## n s ih f
EKSTENSIFIKASI    ## k s t ## n s ih f ih k aa s ih
EKSTENSOR    ## k s t ## n s ao r
EKSTERIOR    ## k s t ## r ih ao r
EKSTERIORISASI    ## k s t ## r ih ao r ih s aa s ih
EKSTERITORIALITAS    ## k s t ## r ih t ao r ih aa l ih t aa s
EKSTERN    ## k s t ## r n
EKSTERNAL    ## k s t ## r n aa l
EKSTIN    ## k s t ih n
EKSTRA    ## k s t r aa
EKSTRA-    ## k s t r aa
EKSTRADISI    ## k s t r aa d ih s ih
EKSTRAK    ## k s t r aa k
EKSTRAKARDIAL    ## k s t r aa k aa r d ih aa l
EKSTRAKSI    ## k s t r aa k s ih
EKSTRAKTIF    ## k s t r aa k t ih f
EKSTRAKURIKULER    ## k s t r aa k uw r ih k uw l ## r
EKSTRALINGUISTIS    ## k s t r aa l ih ng uw ih s t ih s
EKSTRAMARITAL    ## k s t r aa m aa r ih t aa l
EKSTRANEI    ## k s t r aa n ##
EKSTRAPARLEMENTER    ## k s t r aa p aa r l ## m ## n t ## r
EKSTRAPOLASI    ## k s t r aa p ao l aa s ih
EKSTRASELULER    ## k s t r aa s ## l uw l ## r
EKSTRATERESTRIAL    ## k s t r aa t ## r ## s t r ih aa l
EKSTRATERITORIALITAS    ## k s t r aa t ## r ih t ao r ih aa l ih t aa s
EKSTRAUTERIN    ## k s t r ## t ## r ih n
EKSTRAVERSI    ## k s t r aa f ## r s ih
EKSTREM    ## k s t r ## m
EKSTREMIS    ## k s t r ## m ih s
EKSTREMITAS    ## k s t r ## m ih t aa s
EKSTRINSIK    ## k s t r ih n s ih k
EKSTROSPEKSI    ## k s t r ao s p ## k s ih
EKSTROVER    ## k s t r ao f ## r
EKSTRUSI    ## k s t r uw s ih
EKSUDASI    ## k s uw d aa s ih
EKSUDAT    ## k s uw d aa t
EKTOBLAS    ## k t ao b l aa s
EKTODERM    ## k t ao d ## r m
EKTOHORMON    ## k t ao hh ao r m ao n
EKTOPARASIT    ## k t ao p aa r aa s ih t
EKTOPLASMA    ## k t ao p l aa s m aa
EKTOTERM    ## k t ao t ## r m
EKTOTERMIK    ## k t ao t ## r m ih k
EKUALITAS    ## k uw aa l ih t aa s
EKUATIF    ## k uw aa t ih f
EKUATOR    ## k uw aa t ao r
EKUILIBRIUM    ## k uw ih l ih b r ih uw m
EKUINOKS    ## k uw ih n ao k s
EKUITAS    ## k uw ih t aa s
EKUITI    ## k uw ih t ih
EKUIVALEN    ## k uw ih f aa l ## n
EKUIVALENSI    ## k uw ih f aa l ## n s ih
EKUIVOKASI    ## k uw ih f ao k aa s ih
EKUMENE    ## k uw m ## n ##
EKUMENIS    ## k uw m ## n ih s
EKUMENISME    ## k uw m ## n ih s m ##
EL    ## l
ELA    ## l aa
ELABORASI    ## l aa b ao r aa s ih
ELAK    ## l aa k
ELAN    ## l aa n
ELANG    ## l aa ng
ELASTIK    ## l aa s t ih k
ELASTIN    ## l aa s t ih n
ELASTIS    ## l aa s t ih s
ELASTISITAS    ## l aa s t ih s ih t aa s
ELASTOMER    ## l aa s t ao m ## r
ELATIF    ## l aa t ih f
ELEFANTIASIS    ## l ## f aa n t ih aa s ih s
ELEGAN    ## l ## g aa n
ELEGANSI    ## l ## g aa n s ih
ELEGI    ## l ## g ih
ELEKTIF    ## l ## k t ih f
ELEKTORAT    ## l ## k t ao r aa t
ELEKTRET    ## l ## k t r ## t
ELEKTRIFIKASI    ## l ## k t r ih f ih k aa s ih
ELEKTRIK    ## l ## k t r ih k
ELEKTRIS    ## l ## k t r ih s
ELEKTRO    ## l ## k t r ao
ELEKTRODE    ## l ## k t r ao d ##
ELEKTRODINAMIKA    ## l ## k t r ao d ih n aa m ih k aa
ELEKTROENSEFALOGRAM    ## l ## k t r ao ## n s ## f aa l ao g r aa m
ELEKTROFORESIS    ## l ## k t r ao f ao r ## s ih s
ELEKTROKARDIOGRAM    ## l ## k t r ao k aa r d ih ao g r aa m
ELEKTROKIMIA    ## l ## k t r ao k ih m ih aa
ELEKTROKOAGULASI    ## l ## k t r ao k ao aa g uw l aa s ih
ELEKTROKUSI    ## l ## k t r ao k uw s ih
ELEKTROLISI    ## l ## k t r ao l ih s ih
ELEKTROLISIS    ## l ## k t r ao l ih s ih s
ELEKTROLIT    ## l ## k t r ao l ih t
ELEKTROMAGNET    ## l ## k t r ao m aa g n ## t
ELEKTROMAGNETIK    ## l ## k t r ao m aa g n ## t ih k
ELEKTROMAGNETISME    ## l ## k t r ao m aa g n ## t ih s m ##
ELEKTROMETALURGI    ## l ## k t r ao m ## t aa l uw r g ih
ELEKTROMIOGRAFI    ## l ## k t r ao m ih ao g r aa f ih
ELEKTROMOTIF    ## l ## k t r ao m ao t ih f
ELEKTRON    ## l ## k t r ao n
ELEKTRONEGATIF    ## l ## k t r ao n ## g aa t ih f
ELEKTRONIK    ## l ## k t r ao n ih k
ELEKTRONIKA    ## l ## k t r ao n ih k aa
ELEKTRONIS    ## l ## k t r ao n ih s
ELEKTROPATOLOGI    ## l ## k t r ao p aa t ao l ao g ih
ELEKTROPOSITIF    ## l ## k t r ao p ao s ih t ih f
ELEKTROSKOP    ## l ## k t r ao s k ao p
ELEKTROSTATIKA    ## l ## k t r ao s t aa t ih k aa
ELEKTROTEKNIK    ## l ## k t r ao t ## k n ih k
ELEKTROTERAPEUTIKA    ## l ## k t r ao t ## r aa p ## uw t ih k aa
ELEKTROTERAPI    ## l ## k t r ao t ## r aa p ih
ELEKTROTIPE    ## l ## k t r ao t ih p ##
ELEKTRUM    ## l ## k t r uw m
ELEMEN    ## l ## m ## n
ELEMENTER    ## l ## m ## n t ## r
ELEMI    ## l ## m ih
ELENG    ## l ## ng
ELEVASI    ## l ## f aa s ih
ELEVATOR    ## l ## f aa t ao r
ELIKSIR    ## l ih k s ih r
ELIMINASI    ## l ih m ih n aa s ih
ELIMINIR    ## l ih m ih n ih r
ELING    ## l ih ng
ELIPS    ## l ih p s
ELIPSIS    ## l ih p s ih s
ELIPSOID    ## l ih p s ## d
ELIPSOMETER    ## l ih p s ao m ## t ## r
ELIPSOMETRI    ## l ih p s ao m ## t r ih
ELIPTIS    ## l ih p t ih s
ELITE    ## l ih t ##
ELITIS    ## l ih t ih s
ELITRON    ## l ih t r ao n
ELO    ## l ao
ELOK    ## l ao k
ELOKUENSI    ## l ao k uw ## n s ih
ELON    ## l ao n
ELONGASI    ## l ao ng aa s ih
ELPIJI    ## l p ih jh ih
ELTOR    ## l t ao r
ELU    ## l uw
ELUAT    ## l uw aa t
ELUEN    ## l uw ## n
ELUNG    ## l uw ng
ELUS    ## l uw s
ELUSI    ## l uw s ih
ELUSIAN    ## l uw s ih aa n
ELUSIF    ## l uw s ih f
ELUTRIASI    ## l uw t r ih aa s ih
ELUVIAL    ## l uw f ih aa l
ELUVIASI    ## l uw f ih aa s ih
ELUVIUM    ## l uw f ih uw m
EM    ## m
EMAIL    ## m ## l
EMANASI    ## m aa n aa s ih
EMANG    ## m aa ng
EMANSIPASI    ## m aa n s ih p aa s ih
EMAS    ## m aa s
EMASKULASI    ## m aa s k uw l aa s ih
EMAT    ## m aa t
EMBACANG    ## m b aa ch aa ng
EMBAH    ## m b aa hh
EMBAK    ## m b aa k
EMBAL    ## m b aa l
EMBALASE    ## m b aa l aa s ##
EMBALAU    ## m b aa l ##
EMBAN    ## m b aa n
EMBAR    ## m b aa r
EMBARA    ## m b aa r aa
EMBARAU    ## m b aa r ##
EMBARGO    ## m b aa r g ao
EMBARKASI    ## m b aa r k aa s ih
EMBARU    ## m b aa r uw
EMBAT    ## m b aa t
EMBEK    ## m b ## k
EMBEL    ## m b ## l
EMBER    ## m b ## r
EMBIH    ## m b ih hh
EMBIK    ## m b ih k
EMBLEM    ## m b l ## m
EMBOK    ## m b ao k
EMBOL    ## m b ao l
EMBOLI    ## m b ao l ih
EMBOLISME    ## m b ao l ih s m ##
EMBOLUS    ## m b ao l uw s
EMBOSUR    ## m b ao s uw r
EMBRAT    ## m b r aa t
EMBRIO    ## m b r ih ao
EMBRIOGENESIS    ## m b r ih ao g ## n ## s ih s
EMBRIOLOGI    ## m b r ih ao l ao g ih
EMBRIONIK    ## m b r ih ao n ih k
EMBUAI    ## m b uw ##
EMBUH    ## m b uw hh
EMBUN    ## m b uw n
EMBUNG    ## m b uw ng
EMBUS    ## m b uw s
EMBUT    ## m b uw t
EMENDASI    ## m ## n d aa s ih
EMERALDIN    ## m ## r aa l d ih n
EMERITUS    ## m ## r ih t uw s
EMETIK    ## m ## t ih k
EMETINA    ## m ## t ih n aa
EMFISEMA    ## m f ih s ## m aa
EMIGRAN    ## m ih g r aa n
EMIGRASI    ## m ih g r aa s ih
EMINEN    ## m ih n ## n
EMINENSI    ## m ih n ## n s ih
EMIR    ## m ih r
EMIRAT    ## m ih r aa t
EMIS    ## m ih s
EMISI    ## m ih s ih
EMISIVITAS    ## m ih s ih f ih t aa s
EMITANS    ## m ih t aa n s
EMITEN    ## m ih t ## n
EMOH    ## m ao hh
EMOL    ## m ao l
EMOLUMEN    ## m ao l uw m ## n
EMONG    ## m ao ng
EMOSI    ## m ao s ih
EMOSIONAL    ## m ao s ih ao n aa l
EMOSIONALISME    ## m ao s ih ao n aa l ih s m ##
EMOTIF    ## m ao t ih f
EMPAL    ## m p aa l
EMPANG    ## m p aa ng
EMPAP    ## m p aa p
EMPAR    ## m p aa r
EMPAS    ## m p aa s
EMPAT    ah m p aa t
EMPATI    ## m p aa t ih
EMPEDAL    ## m p ## d aa l
EMPEDU    ## m p ## d uw
EMPEK    ## m p ## k
EMPELA    ## m p ## l aa
EMPELAS    ## m p ## l aa s
EMPENAK    ## m p ## n aa k
EMPENG    ## m p ## ng
EMPER    ## m p ## r
EMPET    ## m p ## t
EMPIEMA    ## m p ih ## m aa
EMPIK    ## m p ih k
EMPING    ## m p ih ng
EMPIRI    ## m p ih r ih
EMPIRIS    ## m p ih r ih s
EMPIRISME    ## m p ih r ih s m ##
EMPLASEMEN    ## m p l aa s ## m ## n
EMPLEK    ## m p l ## k
EMPLOYE    ## m p l ao y ##
EMPO    ## m p ao
EMPOH    ## m p ao hh
EMPOK    ## m p ao k
EMPORIUM    ## m p ao r ih uw m
EMPOS    ## m p ao s
EMPOT    ## m p ao t
EMPRAK    ## m p r aa k
EMPU    ## m p uw
EMPUAN    ## m p uw aa n
EMPUK    ## m p uw k
EMPUL    ## m p uw l
EMPULUR    ## m p uw l uw r
EMPUNYA    ## m p uw ny aa
EMRAT    ## m r aa t
EMULASI    ## m uw l aa s ih
EMULATOR    ## m uw l aa t ao r
EMULSI    ## m uw l s ih
EMULSIFIKASI    ## m uw l s ih f ih k aa s ih
EMUT    ## m uw t
EN    ## n
EN-    ## n
ENAK    ## n aa k
ENAM    ah n aa m
ENAMEL    ## n aa m ## l
ENAP    ## n aa p
ENARTROSIS    ## n aa r t r ao s ih s
ENAS    ## n aa s
ENAU    ## n ##
ENCAL    ## n ch aa l
ENCANG    ## n ch aa ng
ENCEH    ## n ch ## hh
ENCEK    ## n ch ## k
ENCEL    ## n ch ## l
ENCER    ## n ch ## r
ENCIK    ## n ch ih k
ENCIM    ## n ch ih m
ENCIT    ## n ch ih t
ENCOK    ## n ch ao k
ENCOT    ## n ch ao t
ENDAK    ## n d aa k
ENDAL    ## n d aa l
ENDANG    ## n d aa ng
ENDAP    ## n d aa p
ENDAS    ## n d aa s
ENDASAN    ## n d aa s aa n
ENDEMI    ## n d ## m ih
ENDEMIS    ## n d ## m ih s
ENDILAU    ## n d ih l ##
ENDODERM    ## n d ao d ## r m
ENDODERMA    ## n d ao d ## r m aa
ENDODERMIS    ## n d ao d ## r m ih s
ENDOFIT    ## n d ao f ih t
ENDOGAMI    ## n d ao g aa m ih
ENDOGEN    ## n d ao g ## n
ENDOKARDIA    ## n d ao k aa r d ih aa
ENDOKRIN    ## n d ao k r ih n
ENDOKRINOLOGI    ## n d ao k r ih n ao l ao g ih
ENDOLIMFA    ## n d ao l ih m f aa
ENDOMETRIOSIS    ## n d ao m ## t r ih ao s ih s
ENDOMETRIUM    ## n d ao m ## t r ih uw m
ENDOMIKSIS    ## n d ao m ih k s ih s
ENDOMIOKARDITIS    ## n d ao m ih ao k aa r d ih t ih s
ENDOMISIUM    ## n d ao m ih s ih uw m
ENDON    ## n d ao n
ENDONG    ## n d ao ng
ENDOPARASIT    ## n d ao p aa r aa s ih t
ENDOPLASMA    ## n d ao p l aa s m aa
ENDORFIN    ## n d ao r f ih n
ENDOSEMEN    ## n d ao s ## m ## n
ENDOSENTRIS    ## n d ao s ## n t r ih s
ENDOSKELETON    ## n d ao s k ## l ## t ao n
ENDOSKOP    ## n d ao s k ao p
ENDOSKOPI    ## n d ao s k ao p ih
ENDOSMOSIS    ## n d ao s m ao s ih s
ENDOSPERMA    ## n d ao s p ## r m aa
ENDOTEL    ## n d ao t ## l
ENDOTERM    ## n d ao t ## r m
ENDOTERMAL    ## n d ao t ## r m aa l
ENDOTERMIS    ## n d ao t ## r m ih s
ENDOTOKSIN    ## n d ao t ao k s ih n
ENDRIN    ## n d r ih n
ENDUK    ## n d uw k
ENDUL    ## n d uw l
ENDURO    ## n d uw r ao
ENDUS    ## n d uw s
ENDUT    ## n d uw t
ENEK    ## n ## k
ENENG    ## n ## ng
ENERGETIK    ## n ## r g ## t ih k
ENERGI    ## n ## r g ih
ENERGIK    ## n ## r g ih k
ENES    ## n ## s
ENFITOTIK    ## n f ih t ao t ih k
ENGAH    ## ng aa hh
